iter	RMSE
0	3800.442939
1	3645.645361
2	3502.385924
3	3397.251223
4	3285.435035
5	3196.38484
6	3097.507837
7	3003.755414
8	2948.902818
9	2897.546655
10	2857.437238
11	2806.951431
12	2760.284647
13	2723.214475
14	2683.057428
15	2649.666687
16	2568.569289
17	2539.196766
18	2474.090159
19	2414.759943
20	2365.030479
21	2314.632685
22	2283.964069
23	2243.304439
24	2212.821509
25	2198.921764
26	2177.323146
27	2148.01211
28	2116.509317
29	2090.56782
30	2073.788377
31	2047.232588
32	2037.149113
33	1998.872701
34	1961.807571
35	1952.51935
36	1926.702029
37	1899.756733
38	1885.59897
39	1866.636101
40	1859.513918
41	1837.423022
42	1820.676877
43	1775.54557
44	1753.541124
45	1746.045506
46	1728.782088
47	1714.993275
48	1708.075519
49	1692.552552
50	1667.625055
51	1630.203324
52	1603.822052
53	1587.180359
54	1569.354494
55	1542.551171
56	1530.754328
57	1505.295625
58	1492.231843
59	1479.998472
60	1465.622057
61	1449.242207
62	1431.221221
63	1421.267131
64	1408.77593
65	1386.53155
66	1367.872579
67	1355.978043
68	1344.813796
69	1328.814496
70	1316.899762
71	1304.370515
72	1299.66441
73	1290.127612
74	1282.210591
75	1269.104493
76	1258.722906
77	1248.422936
78	1240.027464
79	1230.801665
80	1221.588188
81	1206.540277
82	1195.38721
83	1187.890357
84	1184.301262
85	1173.899347
86	1165.926758
87	1154.85049
88	1145.735227
89	1132.932128
90	1123.03797
91	1117.184029
92	1107.420286
93	1099.464237
94	1093.919765
95	1086.660227
96	1077.584232
97	1070.535556
98	1065.340838
99	1059.314569
100	1055.086258
101	1046.729269
102	1042.080758
103	1038.295758
104	1034.391192
105	1028.847139
106	1023.102657
107	1019.430405
108	1014.007278
109	1009.411905
110	1005.74949
111	1000.242891
112	989.1643211
113	985.8350178
114	978.5164966
115	975.2494085
116	968.5461458
117	964.4547255
118	959.9953148
119	955.0225322
120	951.6506179
121	948.2264167
122	943.7689015
123	940.2854128
124	937.2418978
125	931.0808627
126	927.1086173
127	924.8035812
128	922.1966817
129	917.8443784
130	912.7922264
131	906.97194
132	904.5603153
133	900.4848948
134	897.4023241
135	895.6142028
136	893.1520899
137	883.9855347
138	881.0835726
139	878.7702872
140	876.2038553
141	873.3896049
142	870.1084969
143	867.3033747
144	864.7741552
145	861.7655125
146	857.74209
147	855.6822443
148	853.5385192
149	850.0578087
150	845.564983
151	842.8958134
152	841.1239557
153	839.3286679
154	836.4811851
