iter	Passed	Remaining
0	5	5808
1	11	5915
2	17	5800
3	23	5839
4	29	5881
5	34	5784
6	40	5788
7	45	5656
8	51	5668
9	57	5726
10	62	5651
11	68	5640
12	74	5622
13	79	5578
14	84	5562
15	89	5509
16	95	5514
17	100	5474
18	105	5466
19	111	5449
20	117	5470
21	122	5466
22	128	5446
23	133	5442
24	138	5400
25	143	5373
26	148	5357
27	154	5367
28	160	5372
29	165	5342
30	171	5346
31	175	5319
32	179	5273
33	184	5252
34	189	5236
35	194	5202
36	199	5203
37	205	5200
38	210	5177
39	214	5156
40	219	5126
41	224	5128
42	229	5108
43	235	5108
44	240	5101
45	244	5075
46	250	5071
47	254	5054
48	259	5041
49	265	5035
50	270	5026
51	276	5032
52	281	5031
53	286	5023
54	292	5020
55	298	5028
56	302	5008
57	308	5007
58	313	5002
59	318	4987
60	324	4987
61	329	4984
62	335	4983
63	339	4966
64	344	4953
65	350	4956
66	356	4963
67	361	4955
68	366	4951
69	372	4951
70	377	4941
71	382	4929
72	386	4913
73	392	4907
74	397	4900
75	402	4899
76	408	4897
77	414	4899
78	419	4890
79	425	4889
80	430	4886
81	436	4891
82	441	4880
83	446	4872
84	451	4856
85	457	4860
86	462	4853
87	468	4853
88	473	4847
89	479	4844
90	485	4846
91	490	4836
92	495	4835
93	501	4837
94	507	4831
95	512	4829
96	518	4831
97	524	4828
98	529	4818
99	534	4808
100	539	4798
101	544	4796
102	549	4789
103	554	4779
104	559	4768
105	564	4757
106	568	4746
107	573	4740
108	578	4731
109	584	4728
110	589	4723
111	595	4718
112	601	4719
113	606	4716
114	612	4712
115	617	4706
116	623	4702
117	628	4699
118	633	4690
119	638	4684
120	643	4675
121	649	4673
122	654	4664
123	659	4657
124	663	4647
125	669	4643
126	674	4636
127	679	4631
128	684	4622
129	690	4618
130	695	4610
131	700	4609
132	705	4600
133	711	4598
134	717	4594
135	721	4584
136	725	4572
137	732	4573
138	737	4566
139	742	4558
140	746	4549
141	752	4544
142	757	4537
143	762	4531
144	766	4521
145	772	4520
146	777	4511
147	781	4501
148	787	4496
149	793	4494
150	799	4492
151	803	4485
152	809	4478
153	813	4470
154	819	4464
155	824	4460
156	830	4457
157	835	4451
158	840	4447
159	846	4444
160	852	4441
161	858	4438
162	862	4428
163	867	4421
164	872	4417
165	877	4409
166	882	4403
167	888	4398
168	893	4395
169	899	4390
170	904	4384
171	909	4379
172	914	4372
173	919	4364
174	924	4357
175	928	4349
176	934	4344
177	938	4336
178	945	4335
179	950	4329
180	955	4321
181	959	4313
182	964	4308
183	970	4305
184	975	4298
185	980	4289
186	984	4281
187	989	4274
188	995	4272
189	1000	4265
190	1005	4260
191	1010	4254
192	1015	4244
193	1020	4239
194	1025	4234
195	1030	4225
196	1035	4220
197	1040	4214
198	1046	4211
199	1052	4211
200	1059	4210
201	1065	4210
202	1071	4205
203	1075	4198
204	1080	4190
205	1086	4187
206	1091	4179
207	1095	4171
208	1101	4170
209	1106	4163
210	1111	4154
211	1116	4149
212	1120	4141
213	1126	4136
214	1130	4128
215	1136	4125
216	1142	4121
217	1147	4117
218	1153	4112
219	1157	4104
220	1161	4095
221	1166	4089
222	1174	4090
223	1182	4096
224	1188	4094
225	1194	4091
226	1202	4093
227	1210	4097
228	1216	4096
229	1223	4096
230	1238	4121
231	1244	4119
232	1250	4117
233	1256	4112
234	1263	4114
235	1272	4118
236	1278	4114
237	1287	4120
238	1293	4117
239	1298	4112
240	1303	4105
241	1308	4097
242	1314	4093
243	1320	4089
244	1324	4081
245	1329	4076
246	1334	4069
247	1339	4061
248	1343	4052
249	1348	4045
250	1354	4040
251	1359	4034
252	1364	4028
253	1368	4020
254	1374	4014
255	1381	4013
256	1386	4007
257	1390	3999
258	1395	3993
259	1401	3989
260	1407	3984
261	1412	3979
262	1417	3971
263	1422	3965
264	1428	3962
265	1434	3957
266	1438	3949
267	1444	3944
268	1450	3942
269	1455	3934
270	1460	3928
271	1465	3922
272	1470	3917
273	1476	3911
274	1483	3910
275	1488	3905
276	1493	3897
277	1498	3891
278	1503	3884
279	1508	3878
280	1514	3876
281	1519	3869
282	1525	3863
283	1530	3857
284	1535	3852
285	1540	3847
286	1546	3841
287	1551	3835
288	1556	3829
289	1562	3826
290	1567	3820
291	1572	3812
292	1577	3807
293	1582	3800
294	1588	3795
295	1592	3788
296	1598	3782
297	1603	3776
298	1608	3772
299	1614	3766
300	1620	3762
301	1625	3757
302	1630	3751
303	1635	3743
304	1641	3739
305	1645	3732
306	1651	3727
307	1656	3721
308	1662	3717
309	1668	3714
310	1673	3708
311	1679	3704
312	1684	3698
313	1690	3694
314	1696	3689
315	1701	3682
316	1705	3675
317	1711	3670
318	1716	3663
319	1720	3656
320	1725	3649
321	1730	3643
322	1735	3638
323	1741	3633
324	1746	3626
325	1750	3619
326	1756	3614
327	1762	3610
328	1767	3604
329	1773	3600
330	1779	3595
331	1784	3591
332	1789	3585
333	1795	3580
334	1800	3575
335	1806	3570
336	1812	3565
337	1818	3560
338	1823	3556
339	1829	3551
340	1834	3545
341	1841	3543
342	1846	3536
343	1851	3531
344	1856	3524
345	1861	3518
346	1866	3512
347	1872	3507
348	1876	3501
349	1882	3496
350	1887	3490
351	1894	3487
352	1900	3482
353	1905	3476
354	1910	3472
355	1916	3466
356	1921	3461
357	1927	3456
358	1932	3450
359	1938	3446
360	1943	3439
361	1947	3432
362	1952	3426
363	1958	3422
364	1963	3416
365	1968	3409
366	1973	3403
367	1978	3398
368	1984	3392
369	1989	3386
370	1994	3380
371	2000	3377
372	2005	3371
373	2011	3366
374	2016	3361
375	2021	3355
376	2026	3349
377	2033	3345
378	2037	3339
379	2042	3332
380	2048	3327
381	2052	3321
382	2057	3314
383	2062	3308
384	2068	3304
385	2073	3298
386	2079	3293
